070115507,1
080128363,1
080128402,1
080128422,1
080128444,1
080128522,1
080724425,1
080724455,1
080724468,1
080724490,1
080724514,1
080724579,1
080724612,1
090129261,1
090129317,1
090129402,1
090217148,1
090217182,1
090217224,1
100125776,1
100125856,1
100125857,1
100125912,1
100220230,1
100220250,1
110321812,1
110419336,1
110419364,1
111102102,1
111621067,1
120132848,1
120133017,1
120133116,1
120133158,1
120133311,1
120133403,1
120133404,1
120819528,1
131624952,1
138102019,1
140139185,1
141019419,1
141019469,1
141019552,1
150516633,1
190120615,1
210212617,1
210212628,1
211022601,1
211022602,1
211022635,1
220923449,1
220923641,1
220923746,1
231131666,1
231131826,1
231310466,1
231310467,1
231310492,1
231519004,1
240115450,1
240221836,1
240221867,1
240221932,1
240310423,1
240310429,1
240310443,1
250125202,1
250901368,1
260140141,1
260308045,1
270150250,1
270821332,1
274217299,1
280138358,1
280323043,1
283608738,1
300152259,1
300152271,1
400228214,1
421220915,1
440125239,1
450122840,1
827009191,1
827009626,1
827010042,1
827012275,1
